tile_id,tile_dir,role,structure,profile_name,num_input_channels,expected_input_channels,input_channels,has_model_input,has_s2_stack,has_indices,has_rgb,has_qc,has_valid_mask,has_dem,has_soil,has_ground_truth,valid_pixel_fraction,nan_fraction,width,height,status,excluded_reason
10,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 10,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,False,0.9996891663763766,0.0,557,335,valid,
11,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 11,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,False,0.9996897234258814,0.0,558,335,valid,
12,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 12,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,False,1.0,0.0,558,335,valid,
13,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 13,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,False,0.9999679024233671,0.0,558,335,valid,
14,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 14,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,False,0.9984190358798467,0.0,557,335,valid,
15,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 15,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,False,0.9997111218103033,0.0,558,335,valid,
16,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 16,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,False,0.9996087783702672,0.0,557,335,valid,
17,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 17,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,False,1.0,0.0,558,335,valid,
18,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 18,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,False,1.0,0.0,558,334,valid,
19,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 19,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,False,1.0,0.0,557,334,valid,
20,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 20,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,False,0.9970149253731343,0.0029850746268657025,558,335,valid,
21,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 21,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,False,1.0,0.0,557,335,valid,
22,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 22,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,False,1.0,0.0,558,335,valid,
23,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 23,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,False,1.0,0.0,558,335,valid,
24,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 24,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,False,1.0,0.0,557,335,valid,
25,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 25,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,False,1.0,0.0,558,335,valid,
26,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 26,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,False,1.0,0.0,557,335,valid,
27,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 27,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,False,0.9926657037393677,0.0,558,335,valid,
28,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 28,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,False,0.9966244048574333,0.0,558,335,valid,
29,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 29,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,False,0.9958894932876015,0.0,557,335,valid,
30,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 30,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,False,0.9997699673674637,0.0,558,335,valid,
31,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 31,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,False,0.9913341729413971,0.0,557,335,valid,
32,C:\Uni\Terra-AID\Data\Datasets\HS2\Dataset\tile 32,predictive,aoi_grid,derived_8ch,8,8,B2|B3|B4|B8|B11|B12|NDVI|BSI,True,True,True,True,True,True,False,False,False,0.9974161450810464,0.0,558,335,valid,
